[17:36:24] [info] VIOLET: Creating window Violet Engine (1200, 800)
[17:36:26] [info] VIOLET: OpenGL Info: 
[17:36:26] [info] VIOLET:  Vendor: NVIDIA Corporation 
[17:36:26] [info] VIOLET:  Renderer : NVIDIA GeForce GTX 1650/PCIe/SSE2 
[17:36:26] [info] VIOLET:  Version: 4.6.0 NVIDIA 512.59 
[17:36:30] [trace] APP: FPS: 56.4054 (0.0177288 / ms) 
[17:36:30] [trace] APP: FPS: 62.9076 (0.0158963 / ms) 
[17:36:30] [trace] APP: FPS: 59.4481 (0.0168214 / ms) 
[17:36:30] [trace] APP: FPS: 24.7577 (0.0403914 / ms) 
[17:36:31] [trace] APP: FPS: 36.1291 (0.0276785 / ms) 
[17:36:31] [trace] APP: FPS: 60.6727 (0.0164819 / ms) 
[17:36:31] [trace] APP: FPS: 60.289 (0.0165868 / ms) 
[17:36:31] [trace] APP: FPS: 56.7227 (0.0176296 / ms) 
[17:36:31] [trace] APP: FPS: 67.4998 (0.0148149 / ms) 
[17:36:31] [trace] APP: FPS: 55.1897 (0.0181193 / ms) 
[17:36:31] [trace] APP: FPS: 63.0324 (0.0158648 / ms) 
[17:36:31] [trace] APP: FPS: 57.7473 (0.0173168 / ms) 
[17:36:31] [trace] APP: FPS: 63.3026 (0.0157971 / ms) 
[17:36:31] [trace] APP: FPS: 57.3651 (0.0174322 / ms) 
[17:36:31] [trace] APP: FPS: 60.0955 (0.0166402 / ms) 
[17:36:31] [trace] APP: FPS: 56.1802 (0.0177999 / ms) 
[17:36:31] [trace] APP: FPS: 67.1604 (0.0148897 / ms) 
[17:36:31] [trace] APP: FPS: 60.18 (0.0166168 / ms) 
[17:36:31] [trace] APP: FPS: 58.8873 (0.0169816 / ms) 
[17:36:31] [trace] APP: FPS: 60.1455 (0.0166264 / ms) 
[17:36:31] [trace] APP: FPS: 61.1522 (0.0163527 / ms) 
[17:36:31] [trace] APP: FPS: 56.2631 (0.0177736 / ms) 
[17:36:31] [trace] APP: FPS: 65.0784 (0.0153661 / ms) 
[17:36:31] [trace] APP: FPS: 59.1647 (0.016902 / ms) 
[17:36:31] [trace] APP: FPS: 63.9571 (0.0156355 / ms) 
[17:36:31] [trace] APP: FPS: 59.3674 (0.0168443 / ms) 
[17:36:31] [trace] APP: FPS: 60.923 (0.0164142 / ms) 
[17:36:31] [trace] APP: FPS: 59.5951 (0.0167799 / ms) 
[17:36:31] [trace] APP: FPS: 62.804 (0.0159225 / ms) 
[17:36:31] [trace] APP: FPS: 60.4419 (0.0165448 / ms) 
[17:36:31] [trace] APP: FPS: 61.4802 (0.0162654 / ms) 
[17:36:31] [trace] APP: FPS: 58.358 (0.0171356 / ms) 
[17:36:31] [trace] APP: FPS: 63.0192 (0.0158682 / ms) 
[17:36:31] [trace] APP: FPS: 56.0856 (0.0178299 / ms) 
[17:36:31] [trace] APP: FPS: 60.1817 (0.0166163 / ms) 
[17:36:31] [trace] APP: FPS: 61.6284 (0.0162263 / ms) 
[17:36:31] [trace] APP: FPS: 59.2801 (0.0168691 / ms) 
[17:36:31] [trace] APP: FPS: 60.2959 (0.0165849 / ms) 
